vin,make,model,year
1HGBH41JXMN109186,Toyota,Corolla,2018
2HGBH41JXMN109187,Honda,Civic,2020
3HGBH41JXMN109188,Ford,Focus,2017
4HGBH41JXMN109189,Chevrolet,Malibu,2019
5HGBH41JXMN109190,Nissan,Altima,2016
6HGBH41JXMN109191,Hyundai,Elantra,2018
7HGBH41JXMN109192,Volkswagen,Passat,2015
8HGBH41JXMN109193,Subaru,Impreza,2021
101HGBH41JXMN109286,Toyota,Corolla,2019
102HGBH41JXMN109287,Honda,Civic,2021
103HGBH41JXMN109288,Ford,Focus,2018
104HGBH41JXMN109289,Chevrolet,Malibu,2020
105HGBH41JXMN109290,Nissan,Altima,2017
106HGBH41JXMN109291,Hyundai,Elantra,2019
107HGBH41JXMN109292,Volkswagen,Passat,2016
108HGBH41JXMN109293,Subaru,Impreza,2022
9HGBH41JXMN109194,Kia,Optima,2019
10HGBH41JXMN109195,BMW,320i,2020
11HGBH41JXMN109196,Mercedes,C300,2017
12HGBH41JXMN109197,Audi,A4,2018
13HGBH41JXMN109198,Jeep,Wrangler,2016
14HGBH41JXMN109199,Chevrolet,Equinox,2019
15HGBH41JXMN109200,Toyota,Camry,2015
16HGBH41JXMN109201,Honda,Accord,2021
17HGBH41JXMN109202,Ford,Escape,2018
18HGBH41JXMN109203,Nissan,Rogue,2017
19HGBH41JXMN109204,Hyundai,Tucson,2016
20HGBH41JXMN109205,Volkswagen,Jetta,2019
